Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.76,"urn:cite:hmt:vaimg.VA253RN-0424@0.207,0.2111,0.425,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:19.77,"urn:cite:hmt:vaimg.VA253RN-0424@0.195,0.2329,0.425,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:19.78,"urn:cite:hmt:vaimg.VA253RN-0424@0.202,0.2539,0.386,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:19.79,"urn:cite:hmt:vaimg.VA253RN-0424@0.209,0.2735,0.386,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.80,"urn:cite:hmt:vaimg.VA253RN-0424@0.209,0.2938,0.426,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.81,"urn:cite:hmt:vaimg.VA253RN-0424@0.209,0.3125,0.426,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.82,"urn:cite:hmt:vaimg.VA253RN-0424@0.204,0.3306,0.426,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.83,"urn:cite:hmt:vaimg.VA253RN-0424@0.202,0.3486,0.426,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.84,"urn:cite:hmt:vaimg.VA253RN-0424@0.206,0.3696,0.426,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.85,"urn:cite:hmt:vaimg.VA253RN-0424@0.198,0.3899,0.426,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.86,"urn:cite:hmt:vaimg.VA253RN-0424@0.204,0.4065,0.415,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.87,"urn:cite:hmt:vaimg.VA253RN-0424@0.202,0.423,0.415,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.88,"urn:cite:hmt:vaimg.VA253RN-0424@0.2,0.4455,0.415,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.89,"urn:cite:hmt:vaimg.VA253RN-0424@0.2,0.4628,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.90,"urn:cite:hmt:vaimg.VA253RN-0424@0.204,0.4808,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.91,"urn:cite:hmt:vaimg.VA253RN-0424@0.198,0.5011,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.92,"urn:cite:hmt:vaimg.VA253RN-0424@0.205,0.5184,0.418,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.93,"urn:cite:hmt:vaimg.VA253RN-0424@0.195,0.5394,0.451,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.94,"urn:cite:hmt:vaimg.VA253RN-0424@0.194,0.5567,0.451,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.95,"urn:cite:hmt:vaimg.VA253RN-0424@0.194,0.5763,0.451,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.96,"urn:cite:hmt:vaimg.VA253RN-0424@0.192,0.5958,0.451,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.97,"urn:cite:hmt:vaimg.VA253RN-0424@0.197,0.6131,0.451,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.98,"urn:cite:hmt:vaimg.VA253RN-0424@0.194,0.6311,0.371,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.99,"urn:cite:hmt:vaimg.VA253RN-0424@0.195,0.6476,0.393,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.100,"urn:cite:hmt:vaimg.VA253RN-0424@0.193,0.6709,0.393,0.0255"
